2부 6화. 도움의 손길 (3),9.84,2020.11.12
2부 5화. 도움의 손길 (2),9.77,2020.11.05
2부 4화. 도움의 손길 (1),9.35,2020.10.29
2부 3화. 천사들의 학교 (3),9.66,2020.10.22
2부 2화. 천사들의 학교 (2),9.77,2020.10.15
2부 1화. 천사들의 학교 (1),9.82,2020.10.08
1부 마지막화. 세례 (6),9.85,2020.10.01
33화. 세례 (5),9.78,2020.09.24
32화. 세례 (4),9.79,2020.09.17
31화. 세례 (3),9.80,2020.09.10
30화. 세례 (2),9.88,2020.09.03
29화. 세례 (1),9.87,2020.08.27
28화. 뱁새 (2),9.87,2020.08.20
27화. 뱁새 (1),9.89,2020.08.13
26화. 사이 (5),9.87,2020.08.06
25화. 사이 (4),9.87,2020.07.30
24화. 사이 (3),9.91,2020.07.23
23화. 사이 (2),9.89,2020.07.16
22화. 사이 (1),9.91,2020.07.09
21화. 침수 (4),9.92,2020.07.02
20화. 침수 (3),9.90,2020.06.25
19화. 침수 (2),9.93,2020.06.18
18화. 침수 (1),9.92,2020.06.11
17화. 소마 (2),9.89,2020.06.04
16화. 소마 (1),9.89,2020.05.28
15화. 성모 (3),9.85,2020.05.21
14화. 성모 (2),9.90,2020.05.14
13화. 성모 (1),9.90,2020.05.07
12화. 교회 (2),9.89,2020.04.30
11화. 교회 (1),9.88,2020.04.23
10화. 알바 (2),9.88,2020.04.16
9화. 알바 (1),9.87,2020.04.09
8화. 황새 (2),9.86,2020.04.02
7화. 황새 (1),9.87,2020.03.26
6화. 호의 (2),9.83,2020.03.19
5화. 호의 (1),9.23,2020.03.12
4화. 사과,9.83,2020.03.05
3화. 실수,9.73,2020.02.27
2화. 봉투,9.42,2020.02.20
1화. 늦잠,9.57,2020.02.20
